試合日,対戦相手,ホーム・ビジター,球場,ホークス得点,相手得点,通常勝敗,ホークスハンデ,相手ハンデ,補正後ホークス得点,補正後相手得点,ハンデ勝敗,AI予測,AI勝率,予測方式,通常的中,ハンデ的中
2024-03-02,DeNA,home,北九州,5.0,3.0,勝,,,,,対象外,勝,54.5,初期計算式,True,
2024-03-05,ヤクルト,home,PayPayドーム,5.0,4.0,勝,,,,,対象外,勝,87.2,初期計算式,True,
2024-03-06,ヤクルト,home,PayPayドーム,2.0,0.0,勝,,,,,対象外,勝,93.2,初期計算式,True,
2024-03-09,ロッテ,away,ZOZOマリンスタジアム,8.0,5.0,勝,,,,,対象外,勝,84.6,初期計算式,True,
2024-03-10,ロッテ,away,ZOZOマリンスタジアム,1.0,1.0,分,,,,,対象外,勝,92.3,初期計算式,,
2024-03-12,巨人,home,鹿児島,3.0,2.0,勝,,,,,対象外,勝,78.1,初期計算式,True,
2024-03-13,巨人,home,PayPayドーム,2.0,3.0,敗,,,,,対象外,勝,94.6,初期計算式,False,
2024-03-14,巨人,home,PayPayドーム,5.0,0.0,勝,,,,,対象外,勝,72.3,初期計算式,True,
2024-03-15,西武,home,PayPayドーム,1.0,4.0,敗,,,,,対象外,勝,87.3,初期計算式,False,
2024-03-16,西武,home,PayPayドーム,2.0,1.0,勝,,,,,対象外,勝,69.3,初期計算式,True,
2024-03-17,西武,home,PayPayドーム,9.0,3.0,勝,,,,,対象外,勝,71.3,初期計算式,True,
2024-03-19,阪神,home,PayPayドーム,9.0,10.0,敗,,,,,対象外,勝,85.2,初期計算式,False,
2024-03-20,阪神,home,PayPayドーム,4.0,0.0,勝,,,,,対象外,勝,52.9,初期計算式,True,
2024-03-22,広島,home,PayPayドーム,2.0,2.0,分,,,,,対象外,勝,71.9,初期計算式,,
2024-03-23,広島,home,PayPayドーム,5.0,1.0,勝,,,,,対象外,勝,50.7,初期計算式,True,
2024-03-24,広島,away,マツダスタジアム,0.0,3.0,敗,,,,,対象外,勝,66.6,初期計算式,False,
2024-03-29,オリックス,away,京セラドーム大阪,3.0,1.0,勝,,,,,対象外,勝,63.0,初期計算式,True,
2024-03-30,オリックス,away,京セラドーム大阪,0.0,2.0,敗,,,,,対象外,勝,89.6,初期計算式,False,
2024-03-31,オリックス,away,京セラドーム大阪,5.0,2.0,勝,,,,,対象外,勝,79.0,初期計算式,True,
2024-04-02,ロッテ,home,PayPayドーム,2.0,0.0,勝,,,,,対象外,勝,81.0,初期計算式,True,
2024-04-03,ロッテ,home,PayPayドーム,2.0,4.0,敗,,,,,対象外,勝,79.2,初期計算式,False,
2024-04-04,ロッテ,home,PayPayドーム,8.0,1.0,勝,,,,,対象外,勝,68.4,初期計算式,True,
2024-04-05,楽天,away,楽天モバイル,6.0,1.0,勝,,,,,対象外,勝,78.2,初期計算式,True,
2024-04-06,楽天,away,楽天モバイル,5.0,4.0,勝,,,,,対象外,勝,81.2,初期計算式,True,
2024-04-07,楽天,away,楽天モバイル,2.0,3.0,敗,,,,,対象外,勝,90.6,初期計算式,False,
2024-04-09,日本ハム,home,熊本,2.0,4.0,敗,,,,,対象外,勝,71.7,初期計算式,False,
2024-04-11,日本ハム,home,北九州,6.0,3.0,勝,,,,,対象外,勝,66.1,初期計算式,True,
2024-04-12,西武,away,メットライフドーム,2.0,1.0,勝,,,,,対象外,勝,82.6,初期計算式,True,
2024-04-13,西武,away,メットライフドーム,11.0,2.0,勝,,,,,対象外,勝,63.3,初期計算式,True,
2024-04-14,西武,away,メットライフドーム,4.0,1.0,勝,,,,,対象外,勝,88.7,初期計算式,True,
2024-04-16,日本ハム,away,エスコンF,1.0,5.0,敗,,,,,対象外,勝,81.0,初期計算式,False,
2024-04-17,日本ハム,away,エスコンF,4.0,4.0,分,,,,,対象外,勝,74.6,初期計算式,,
2024-04-19,オリックス,home,PayPayドーム,9.0,7.0,勝,,,,,対象外,勝,75.1,初期計算式,True,
2024-04-20,オリックス,home,PayPayドーム,3.0,3.0,分,,,,,対象外,勝,63.3,ウォークフォワード,,
2024-04-21,オリックス,home,PayPayドーム,1.0,3.0,敗,,,,,対象外,勝,84.2,ウォークフォワード,False,
2024-04-23,ロッテ,away,ZOZOマリンスタジアム,4.0,2.0,勝,,,,,対象外,勝,79.3,ウォークフォワード,True,
2024-04-24,ロッテ,away,ZOZOマリンスタジアム,10.0,1.0,勝,,,,,対象外,勝,66.0,ウォークフォワード,True,
2024-04-25,ロッテ,away,ZOZOマリンスタジアム,6.0,0.0,勝,,,,,対象外,勝,66.4,ウォークフォワード,True,
2024-04-27,西武,home,PayPayドーム,2.0,1.0,勝,,,,,対象外,勝,50.2,ウォークフォワード,True,
2024-04-28,西武,home,PayPayドーム,3.0,2.0,勝,,,,,対象外,勝,73.7,ウォークフォワード,True,
2024-04-29,西武,home,PayPayドーム,5.0,4.0,勝,,,,,対象外,勝,81.0,ウォークフォワード,True,
2024-04-30,楽天,home,PayPayドーム,8.0,0.0,勝,,,,,対象外,勝,76.3,ウォークフォワード,True,
2024-05-01,楽天,home,PayPayドーム,3.0,4.0,敗,,,,,対象外,敗,37.7,ウォークフォワード,True,
2024-05-03,西武,away,メットライフドーム,0.0,1.0,敗,,,,,対象外,敗,47.0,ウォークフォワード,True,
2024-05-04,西武,away,メットライフドーム,4.0,5.0,敗,,,,,対象外,勝,62.8,ウォークフォワード,False,
2024-05-05,西武,away,メットライフドーム,4.0,0.0,勝,,,,,対象外,勝,88.0,ウォークフォワード,True,
2024-05-06,日本ハム,home,PayPayドーム,9.0,4.0,勝,,,,,対象外,勝,92.6,ウォークフォワード,True,
2024-05-08,日本ハム,home,PayPayドーム,3.0,1.0,勝,,,,,対象外,敗,46.5,ウォークフォワード,False,
2024-05-11,オリックス,home,宮崎,4.0,1.0,勝,,,,,対象外,敗,49.2,ウォークフォワード,False,
2024-05-14,楽天,away,楽天モバイル,1.0,4.0,敗,,,,,対象外,勝,95.7,ウォークフォワード,False,
2024-05-15,楽天,away,楽天モバイル,7.0,3.0,勝,,,,,対象外,勝,69.3,ウォークフォワード,True,
2024-05-17,西武,home,PayPayドーム,6.0,2.0,勝,,,,,対象外,勝,65.1,ウォークフォワード,True,
2024-05-18,西武,home,PayPayドーム,3.0,2.0,勝,,,,,対象外,勝,67.4,ウォークフォワード,True,
2024-05-19,西武,home,PayPayドーム,2.0,1.0,勝,,,,,対象外,勝,55.0,ウォークフォワード,True,
2024-05-21,楽天,home,PayPayドーム,21.0,0.0,勝,,,,,対象外,勝,69.9,ウォークフォワード,True,
2024-05-22,楽天,home,京セラドーム大阪,12.0,0.0,勝,,,,,対象外,勝,79.8,ウォークフォワード,True,
2024-05-24,ロッテ,away,ZOZOマリンスタジアム,1.0,3.0,敗,,,,,対象外,勝,73.1,ウォークフォワード,False,
2024-05-25,ロッテ,away,ZOZOマリンスタジアム,0.0,2.0,敗,,,,,対象外,敗,32.1,ウォークフォワード,True,
2024-05-26,ロッテ,away,ZOZOマリンスタジアム,1.0,7.0,敗,,,,,対象外,敗,42.3,ウォークフォワード,True,
2024-05-28,巨人,away,東京ドーム,2.0,0.0,勝,,,,,対象外,勝,65.0,ウォークフォワード,True,
2024-05-29,巨人,away,東京ドーム,0.0,1.0,敗,,,,,対象外,敗,46.6,ウォークフォワード,True,
2024-05-30,巨人,away,東京ドーム,5.0,6.0,敗,,,,,対象外,敗,38.0,ウォークフォワード,True,
2024-05-31,広島,home,PayPayドーム,2.0,1.0,勝,,,,,対象外,勝,72.4,ウォークフォワード,True,
2024-06-01,広島,home,PayPayドーム,2.0,0.0,勝,,,,,対象外,勝,73.2,ウォークフォワード,True,
2024-06-02,広島,home,PayPayドーム,5.0,3.0,勝,,,,,対象外,勝,52.4,ウォークフォワード,True,
2024-06-04,中日,away,ナゴヤドーム,3.0,2.0,勝,,,,,対象外,敗,49.3,ウォークフォワード,False,
2024-06-05,中日,away,ナゴヤドーム,5.0,1.0,勝,,,,,対象外,敗,47.5,ウォークフォワード,False,
2024-06-06,中日,away,ナゴヤドーム,0.0,3.0,敗,,,,,対象外,敗,45.3,ウォークフォワード,True,
2024-06-07,DeNA,away,横浜スタジアム,10.0,1.0,勝,,,,,対象外,敗,49.8,ウォークフォワード,False,
