date,season,game_type,opponent,home,venue,hawks_starter,opponent_starter,hawks_score,opponent_score,margin,starter_win_diff,starter_recent_diff,starter_run_diff_advantage,target,month,games_before,season_win_rate,win_rate_5,win_rate_10,win_rate_20,run_diff_5,run_diff_10,run_diff_20,runs_for_5,runs_for_10,runs_against_5,runs_against_10,h2h_win_rate,h2h_run_diff,rest_days,p_linear,p_tree,predicted_margin,未校正ホークス勝率,校正済ホークス勝率,prediction,AI予測,AI勝率,hawks_handicap,opponent_handicap,hawks_handicap_raw,opponent_handicap_raw,giving_side,adjusted_margin,handicap_result,predicted_handicap_result,handicap_hit,通常的中,厳選予測,split
2025-03-28,2025,regular,ロッテ,1,PayPayドーム,有原 航平,小島 和哉,2.0,8.0,-6.0,-0.3438,0.0,-1.461,0.0,3,0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,3.5,3.5,3.5,3.5,0.65,1.25,14,0.98685219919961,0.8261963086929179,0.18715971541910337,0.9386554320476024,0.25701915236313194,0,敗,74.2980847636868,1.3,,1.3,,ソフトバンク,-7.3,敗,敗,True,True,True,2025_oof_calibration
2025-03-29,2025,regular,ロッテ,1,PayPayドーム,大関 友久,ボス,4.0,5.0,-1.0,-0.4167,-0.6667,-1.04,0.0,3,1,0.0,0.0,0.0,0.0,-6.0,-6.0,-6.0,2.0,2.0,8.0,8.0,0.6,0.5,0,0.9999887176346126,0.8163689252866431,14.934936668502196,0.9449027799302218,0.24286275811264688,0,敗,75.71372418873531,1.3,,1.3,,ソフトバンク,-2.3,敗,勝,False,True,True,2025_oof_calibration
2025-03-30,2025,regular,ロッテ,1,PayPayドーム,上沢 直之,種市 篤暉,4.0,7.0,-3.0,-0.25,-0.3333,-2.167,0.0,3,2,0.0,0.0,0.0,0.0,-3.5,-3.5,-3.5,3.0,3.0,6.5,6.5,0.55,0.15,0,0.9999885227802546,0.9180044786468,11.437137629453478,0.9753933095402183,0.15552058756224776,0,敗,84.44794124377523,0.7,,0.7,,ソフトバンク,-3.7,敗,勝,False,True,True,2025_oof_calibration
2025-04-01,2025,regular,日本ハム,0,エスコンF,モイネロ,伊藤 大海,5.0,1.0,4.0,0.4028,0.6667,3.025,1.0,4,3,0.0,0.0,0.0,0.0,-3.3333333333333335,-3.3333333333333335,-3.3333333333333335,3.3333333333333335,3.3333333333333335,6.666666666666667,6.666666666666667,0.5,0.4,1,0.2943932367811023,0.7192953996954199,0.1691158518139031,0.42186388565539756,0.7218946528126504,1,勝,72.18946528126504,0.4,,0.4,,ソフトバンク,3.6,勝,敗,False,True,True,2025_oof_calibration
2025-04-02,2025,regular,日本ハム,0,エスコンF,前田 純,北山 亘基,1.0,3.0,-2.0,0.0,0.1667,0.5,0.0,4,4,0.25,0.25,0.25,0.25,-1.5,-1.5,-1.5,3.75,3.75,5.25,5.25,0.55,0.8,0,0.36364002633124903,0.630332346201048,0.9026434671542832,0.44364772229218874,0.7099408994509044,1,勝,70.99408994509045,,0.0,,0,日本ハム,-2.0,敗,勝,False,False,False,2025_oof_calibration
2025-04-04,2025,regular,西武,1,PayPayドーム,有原 航平,今井 達也,0.0,6.0,-6.0,0.3031,0.5,1.833,0.0,4,5,0.2,0.2,0.2,0.2,-1.6,-1.6,-1.6,3.2,3.2,4.8,4.8,0.6,0.9,1,0.5087738803430747,0.4616315471932837,-0.13870549239688135,0.4946311803981374,0.6812227886806201,1,勝,68.12227886806201,1.0,,1.0,,ソフトバンク,-7.0,敗,敗,True,False,False,2025_oof_calibration
2025-04-05,2025,regular,西武,1,PayPayドーム,大関 友久,隅田 知一郎,3.0,6.0,-3.0,-0.2971,-0.3334,-1.258,0.0,4,6,0.16666666666666666,0.2,0.16666666666666666,0.16666666666666666,-1.6,-2.3333333333333335,-2.3333333333333335,2.8,2.6666666666666665,4.4,5.0,0.55,0.55,0,0.7002508719400244,0.5289492298983199,2.0504948251885815,0.6488603793275132,0.5838271128497325,0,敗,41.617288715026746,0.8,,0.8,,ソフトバンク,-3.8,敗,勝,False,True,False,2025_oof_calibration
2025-04-06,2025,regular,西武,1,PayPayドーム,上沢 直之,渡邉 勇太朗,11.0,1.0,10.0,-0.0667,-0.3334,-1.067,1.0,4,7,0.14285714285714285,0.2,0.14285714285714285,0.14285714285714285,-2.0,-2.4285714285714284,-2.4285714285714284,2.6,2.7142857142857144,4.6,5.142857142857143,0.55,0.45,0,0.6716660187509671,0.5850524002923023,1.6699616670525823,0.6456819332133676,0.5860656203799844,0,敗,41.393437962001556,0.7,,0.7,,ソフトバンク,9.3,勝,勝,True,False,False,2025_oof_calibration
2025-04-08,2025,regular,オリックス,0,京セラドーム大阪,モイネロ,椋木 蓮,5.0,2.0,3.0,0.2857,0.5,2.452,1.0,4,8,0.25,0.4,0.25,0.25,0.6,-0.875,-0.875,4.0,3.75,3.4,4.625,0.75,2.1,1,0.4702620061108196,0.423902746306594,0.8212716939052412,0.45635422816955196,0.7028890568543983,1,勝,70.28890568543983,1.5,,1.5,,ソフトバンク,1.5,勝,敗,False,True,False,2025_oof_calibration
2025-04-09,2025,regular,オリックス,0,京セラドーム大阪,大津 亮介,曽谷 龍平,10.0,9.0,1.0,-0.5,-0.3333,-2.3,1.0,4,9,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.4,-0.4444444444444444,-0.4444444444444444,4.0,3.888888888888889,3.6,4.333333333333333,0.75,2.15,0,0.471135278241196,0.7419341722892672,0.8536239224074654,0.5523749464556174,0.6470078674324997,1,勝,64.70078674324998,0.6,,0.6,,ソフトバンク,0.4,勝,勝,True,True,False,2025_oof_calibration
