date,season,game_type,opponent,home,venue,hawks_starter,opponent_starter,hawks_score,opponent_score,margin,starter_win_diff,starter_recent_diff,starter_run_diff_advantage,target,month,games_before,season_win_rate,win_rate_5,win_rate_10,win_rate_20,run_diff_5,run_diff_10,run_diff_20,runs_for_5,runs_for_10,runs_against_5,runs_against_10,h2h_win_rate,h2h_run_diff,rest_days,p_linear,p_tree,predicted_margin,未校正ホークス勝率,校正済ホークス勝率,prediction,AI予測,AI勝率,hawks_handicap,opponent_handicap,hawks_handicap_raw,opponent_handicap_raw,giving_side,adjusted_margin,handicap_result,predicted_handicap_result,handicap_hit,通常的中,厳選予測,split
2025-03-28,2025,regular,ロッテ,1,PayPayドーム,有原 航平,小島 和哉,2.0,8.0,-6.0,0.6562,1.0,3.873,0.0,3,0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,3.5,3.5,3.5,3.5,0.65,1.25,14,0.9858044125510729,0.9351088497557276,-0.013643563482715004,0.9756652999920038,0.11055191585280402,0,敗,88.9448084147196,1.3,,1.3,,ソフトバンク,-7.3,敗,敗,True,True,True,2025_oof_calibration
2025-03-29,2025,regular,ロッテ,1,PayPayドーム,大関 友久,ボス,4.0,5.0,-1.0,0.5833,0.3333,2.96,0.0,3,1,0.0,0.0,0.0,0.0,-6.0,-6.0,-6.0,2.0,2.0,8.0,8.0,0.6,0.5,0,0.9999898057908504,0.8988015946247969,13.087553126426064,0.9797521635576397,0.09748585703442629,0,敗,90.25141429655737,1.3,,1.3,,ソフトバンク,-2.3,敗,勝,False,True,True,2025_oof_calibration
2025-03-30,2025,regular,ロッテ,1,PayPayドーム,上沢 直之,種市 篤暉,4.0,7.0,-3.0,0.75,0.6667,5.167,0.0,3,2,0.0,0.0,0.0,0.0,-3.5,-3.5,-3.5,3.0,3.0,6.5,6.5,0.55,0.15,0,0.9999886525599657,0.9187481340660046,10.07243508210125,0.9837405488611735,0.08376455160697911,0,敗,91.62354483930208,0.7,,0.7,,ソフトバンク,-3.7,敗,勝,False,True,True,2025_oof_calibration
2025-04-01,2025,regular,日本ハム,0,エスコンF,モイネロ,伊藤 大海,5.0,1.0,4.0,0.1528,0.3333,1.775,1.0,4,3,0.0,0.0,0.0,0.0,-3.3333333333333335,-3.3333333333333335,-3.3333333333333335,3.3333333333333335,3.3333333333333335,6.666666666666667,6.666666666666667,0.5,0.4,1,0.2689412777108538,0.41272562759562426,-0.41707360005833105,0.2976981476878079,0.7876652326407347,1,勝,78.76652326407347,0.4,,0.4,,ソフトバンク,3.6,勝,敗,False,True,True,2025_oof_calibration
2025-04-02,2025,regular,日本ハム,0,エスコンF,前田 純,北山 亘基,1.0,3.0,-2.0,0.0,-0.1667,1.5,0.0,4,4,0.25,0.25,0.25,0.25,-1.5,-1.5,-1.5,3.75,3.75,5.25,5.25,0.55,0.8,0,0.31991673042064617,0.5155534330851156,0.19749563778073864,0.3590440709535401,0.7507880736173614,1,勝,75.07880736173614,,0.0,,0,日本ハム,-2.0,敗,勝,False,False,True,2025_oof_calibration
2025-04-04,2025,regular,西武,1,PayPayドーム,有原 航平,今井 達也,0.0,6.0,-6.0,-0.0303,-0.5,0.167,0.0,4,5,0.2,0.2,0.2,0.2,-1.6,-1.6,-1.6,3.2,3.2,4.8,4.8,0.6,0.9,1,0.5560721653983625,0.42344275577148754,-0.07416121467632353,0.5295462834729875,0.6415068628301309,1,勝,64.15068628301309,1.0,,1.0,,ソフトバンク,-7.0,敗,敗,True,False,False,2025_oof_calibration
2025-04-05,2025,regular,西武,1,PayPayドーム,大関 友久,隅田 知一郎,3.0,6.0,-3.0,0.4171,0.0,3.028,0.0,4,6,0.16666666666666666,0.2,0.16666666666666666,0.16666666666666666,-1.6,-2.3333333333333335,-2.3333333333333335,2.8,2.6666666666666665,4.4,5.0,0.55,0.55,0,0.6292555859990743,0.4602786416207554,1.2365590529992028,0.5954601971234106,0.5942742837228189,0,敗,40.57257162771811,0.8,,0.8,,ソフトバンク,-3.8,敗,勝,False,True,False,2025_oof_calibration
2025-04-06,2025,regular,西武,1,PayPayドーム,上沢 直之,渡邉 勇太朗,11.0,1.0,10.0,0.2667,0.0,2.267,1.0,4,7,0.14285714285714285,0.2,0.14285714285714285,0.14285714285714285,-2.0,-2.4285714285714284,-2.4285714285714284,2.6,2.7142857142857144,4.6,5.142857142857143,0.55,0.45,0,0.6230689710499395,0.4602786416207554,1.1780073538820777,0.5905109051641028,0.5979596895014461,0,敗,40.204031049855395,0.7,,0.7,,ソフトバンク,9.3,勝,勝,True,False,False,2025_oof_calibration
2025-04-08,2025,regular,オリックス,0,京セラドーム大阪,モイネロ,椋木 蓮,5.0,2.0,3.0,0.2857,0.5,2.452,1.0,4,8,0.25,0.4,0.25,0.25,0.6,-0.875,-0.875,4.0,3.75,3.4,4.625,0.75,2.1,1,0.4029561441222993,0.4100022256612628,0.3273455374412835,0.40436536043009197,0.722990595581402,1,勝,72.2990595581402,1.5,,1.5,,ソフトバンク,1.5,勝,敗,False,True,True,2025_oof_calibration
2025-04-09,2025,regular,オリックス,0,京セラドーム大阪,大津 亮介,曽谷 龍平,10.0,9.0,1.0,0.5,0.6667,3.7,1.0,4,9,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.4,-0.4444444444444444,-0.4444444444444444,4.0,3.888888888888889,3.6,4.333333333333333,0.75,2.15,0,0.4671123561252853,0.5320701320652287,1.1214867784476892,0.48010391131327396,0.674733270395359,1,勝,67.4733270395359,0.6,,0.6,,ソフトバンク,0.4,勝,勝,True,True,False,2025_oof_calibration
2025-04-11,2025,regular,ロッテ,0,ZOZOマリンスタジアム,有原 航平,石川 柊太,5.0,4.0,1.0,0.1176,-0.1667,0.806,1.0,4,10,0.4,0.6,0.4,0.4,1.0,-0.3,-0.3,5.8,4.5,4.8,4.8,0.55,0.1,1,0.4942293522472448,0.6454221693519373,1.8346822100418372,0.5244679156681833,0.6449966930908587,1,勝,64.49966930908587,0.4,,0.4,,ソフトバンク,0.6,勝,勝,True,True,False,2025_oof_calibration
2025-04-12,2025,regular,ロッテ,0,ZOZOマリンスタジアム,大関 友久,小島 和哉,8.0,0.0,8.0,0.2885,-0.3333,1.241,1.0,4,11,0.45454545454545453,0.8,0.5,0.45454545454545453,2.4,0.4,-0.18181818181818182,6.8,4.8,4.4,4.4,0.6,0.25,0,0.49148234528920315,0.8613320760208711,2.4372230013931984,0.5654522914355367,0.616253347077847,1,勝,61.625334707784695,,0.0,,0,ロッテ,8.0,勝,勝,True,True,False,2025_oof_calibration
2025-04-15,2025,regular,楽天,1,PayPayドーム,モイネロ,藤井 聖,1.0,2.0,-1.0,0.2931,0.6667,4.219,0.0,4,12,0.5,1.0,0.6,0.5,4.6,1.3,0.5,7.8,5.2,3.2,3.9,0.65,3.2,2,0.5296779521629496,0.752652825962128,1.8666173442375567,0.5742729269227853,0.6098813112281248,1,勝,60.98813112281248,1.7,,1.7,,ソフトバンク,-2.7,敗,勝,False,False,False,2025_oof_calibration
2025-04-16,2025,regular,楽天,1,PayPayドーム,上沢 直之,瀧中 瞭太,2.0,6.0,-4.0,0.6667,0.6667,5.834,0.0,4,13,0.46153846153846156,0.8,0.6,0.46153846153846156,2.4,1.5,0.38461538461538464,5.8,4.9,3.4,3.4,0.65,3.3,0,0.6106965165548136,0.726450887471389,2.5316276457722626,0.6338473907381287,0.564785578495235,0,敗,43.521442150476496,1.0,,1.0,,ソフトバンク,-5.0,敗,勝,False,True,False,2025_oof_calibration
2025-04-17,2025,regular,楽天,1,PayPayドーム,前田 純,岸 孝之,3.0,4.0,-1.0,-0.1667,-0.5,0.2,0.0,4,14,0.42857142857142855,0.6,0.5,0.42857142857142855,1.0,0.7,0.07142857142857142,5.2,4.6,4.2,3.9,0.6,2.9,0,0.5548900500386507,0.824854690631404,1.8216750182834622,0.6088829781572014,0.584150624732512,0,敗,41.5849375267488,1.0,,1.0,,ソフトバンク,-2.0,敗,勝,False,True,False,2025_oof_calibration
2025-04-18,2025,regular,西武,0,メットライフドーム,有原 航平,今井 達也,1.0,2.0,-1.0,-0.0857,-0.6667,-0.76,0.0,4,15,0.4,0.4,0.5,0.4,0.6,0.8,0.0,3.8,4.8,3.2,4.0,0.6,1.0,0,0.6228911032746155,0.8614688864356058,2.0864659351771317,0.6706066599068136,0.5348315131183646,0,敗,46.516848688163535,,0.0,,0,西武,-1.0,敗,勝,False,True,False,2025_oof_calibration
2025-04-19,2025,regular,西武,0,メットライフドーム,大関 友久,隅田 知一郎,0.0,1.0,-1.0,0.3056,-0.3334,2.5,0.0,4,16,0.375,0.2,0.5,0.375,0.2,1.3,-0.0625,3.0,4.9,2.8,3.6,0.55,0.75,0,0.7051808890567831,0.8535732680749556,1.8560259730594528,0.7348593648604176,0.47733487427159926,0,敗,52.26651257284007,0.2,,0.2,,ソフトバンク,-1.2,敗,勝,False,True,False,2025_oof_calibration
2025-04-20,2025,regular,西武,0,メットライフドーム,東浜 巨,渡邉 勇太朗,3.0,1.0,2.0,0.25,-0.3333,4.217,1.0,4,17,0.35294117647058826,0.0,0.5,0.35294117647058826,-1.6,1.5,-0.11764705882352941,1.4,4.6,3.0,3.1,0.5,0.5,0,0.765269099384052,0.7212908719882583,1.4320513244284936,0.7564734539048933,0.456153857215957,0,敗,54.3846142784043,0.5,,0.5,,ソフトバンク,1.5,勝,勝,True,False,False,2025_oof_calibration
2025-04-23,2025,regular,オリックス,1,PayPayドーム,上沢 直之,曽谷 龍平,6.0,2.0,4.0,0.5714,0.3333,3.786,1.0,4,18,0.3888888888888889,0.2,0.5,0.3888888888888889,-1.0,0.7,0.0,1.8,3.8,2.8,3.1,0.8,2.3,2,0.5047658209218047,0.6934940339453413,-0.8142789576314835,0.542511463526512,0.6325086364498911,1,勝,63.25086364498911,0.0,,0,,ソフトバンク,4.0,勝,敗,False,True,False,2025_oof_calibration
2025-04-25,2025,regular,楽天,0,楽天モバイル,有原 航平,早川 隆久,1.0,0.0,1.0,0.1111,-0.3334,2.513,1.0,4,19,0.42105263157894735,0.4,0.5,0.42105263157894735,0.6,0.8,0.21052631578947367,2.6,3.9,2.0,3.1,0.55,1.8,1,0.5328432821883697,0.9426575858525091,1.565240076374095,0.6148061429211976,0.5796211272822022,0,敗,42.03788727177978,,0.0,,0,楽天,1.0,勝,勝,True,False,False,2025_oof_calibration
2025-04-26,2025,regular,楽天,0,楽天モバイル,大関 友久,内 星龍,3.0,6.0,-3.0,-0.4643,-0.6667,-0.069,0.0,4,20,0.45,0.6,0.5,0.45,1.0,0.8,0.25,2.2,3.0,1.2,2.2,0.55,1.25,0,0.5860610378828157,0.9205646336736902,2.125895811884047,0.6529617570409906,0.5494399224108791,0,敗,45.05600775891209,0.4,,0.4,,ソフトバンク,-3.4,敗,勝,False,True,False,2025_oof_calibration
2025-04-27,2025,regular,楽天,0,楽天モバイル,前田 純,岸 孝之,2.0,3.0,-1.0,-0.75,-1.0,-1.0,0.0,4,21,0.42857142857142855,0.6,0.4,0.45,0.6,0.4,0.4,2.6,2.8,2.0,2.4,0.55,1.3,0,0.5493549180671305,0.9356917789607243,1.3542036116353333,0.6266222902458494,0.5704656008798018,0,敗,42.95343991201982,0.3,,0.3,,ソフトバンク,-1.3,敗,勝,False,True,False,2025_oof_calibration
2025-04-29,2025,regular,日本ハム,1,PayPayドーム,モイネロ,伊藤 大海,1.0,2.0,-1.0,0.2111,0.3334,2.253,0.0,4,22,0.4090909090909091,0.6,0.3,0.45,0.6,-0.5,0.4,3.0,2.2,2.4,2.7,0.5,0.45,1,0.5963035193934472,0.6963317403311253,0.6064430364220124,0.6163091635809828,0.5784654916831501,0,敗,42.15345083168499,0.4,,0.4,,ソフトバンク,-1.4,敗,勝,False,True,False,2025_oof_calibration
2025-04-30,2025,regular,日本ハム,1,PayPayドーム,東浜 巨,山﨑 福也,1.0,6.0,-5.0,-0.0667,0.1667,-0.238,0.0,4,23,0.391304347826087,0.4,0.3,0.45,0.0,-0.5,0.5,2.6,2.2,2.6,2.7,0.45,0.3,0,0.6386672099036461,0.8285484218047587,0.7283793528810378,0.6766434522838686,0.5297286964905003,0,敗,47.027130350949975,0.2,,0.2,,ソフトバンク,-5.2,敗,勝,False,True,False,2025_oof_calibration
2025-05-01,2025,regular,日本ハム,1,PayPayドーム,上沢 直之,古林 睿煬,2.0,3.0,-1.0,0.125,0.1667,1.625,0.0,5,24,0.375,0.2,0.3,0.4,-1.8,-0.6,0.05,1.6,2.1,3.4,2.7,0.4,-0.15,0,0.4034927126887483,0.6931384676789508,0.4429378433082567,0.4614218636867888,0.6868968855906239,1,勝,68.68968855906239,0.2,,0.2,,ソフトバンク,-1.2,敗,勝,False,False,False,2025_oof_calibration
2025-05-02,2025,regular,ロッテ,1,PayPayドーム,有原 航平,ボス,4.0,3.0,1.0,0.1216,0.1667,1.269,1.0,5,25,0.36,0.0,0.3,0.4,-2.2,-0.6,0.1,1.8,2.0,4.0,2.6,0.65,0.95,0,0.40365739242846355,0.48292016018200695,-0.451675093828688,0.41950994597917224,0.7135469553965078,1,勝,71.35469553965078,0.4,,0.4,,ソフトバンク,0.6,勝,敗,False,True,True,2025_oof_calibration
2025-05-03,2025,regular,ロッテ,1,PayPayドーム,大関 友久,石川 柊太,5.0,0.0,5.0,0.5172,0.3333,1.8,1.0,5,26,0.38461538461538464,0.2,0.4,0.45,-1.4,-0.4,0.45,2.0,2.3,3.4,2.7,0.65,0.75,0,0.43267707554449514,0.3331748381798906,0.9677931513037064,0.4127766280715742,0.7177565569395686,1,勝,71.77565569395686,0.3,,0.3,,ソフトバンク,4.7,勝,勝,True,True,True,2025_oof_calibration
2025-05-04,2025,regular,ロッテ,1,PayPayドーム,前田 純,小島 和哉,5.0,3.0,2.0,0.0,-0.3333,1.857,1.0,5,27,0.4074074074074074,0.4,0.5,0.5,-0.2,0.2,0.85,2.6,2.8,2.8,2.6,0.65,0.9,0,0.332892299340873,0.48963582119859433,-0.10443079978491698,0.3642410037124173,0.7476306957036937,1,勝,74.76306957036937,0.4,,0.4,,ソフトバンク,1.6,勝,敗,False,True,True,2025_oof_calibration
2025-05-05,2025,regular,西武,0,メットライフドーム,大津 亮介,渡邉 勇太朗,2.0,0.0,2.0,0.3238,0.3334,4.114,1.0,5,28,0.42857142857142855,0.6,0.5,0.5,0.4,0.2,0.45,3.4,3.0,3.0,2.8,0.5,0.55,0,0.5006001575575645,0.3330872278524496,2.7446481793148836,0.46709757161654153,0.6832217785631893,1,勝,68.32217785631893,0.4,,0.4,,ソフトバンク,1.6,勝,勝,True,True,False,2025_oof_calibration
2025-05-06,2025,regular,西武,0,メットライフドーム,モイネロ,上田 大河,10.0,0.0,10.0,0.2419,-0.1667,2.265,1.0,5,29,0.4482758620689655,0.8,0.5,0.5,1.8,0.0,0.4,3.6,2.6,1.8,2.6,0.5,0.6,0,0.4300099968208602,0.6197559448124873,3.1415964857620544,0.46795918641918566,0.6826623579465062,1,勝,68.26623579465063,1.3,,1.3,,ソフトバンク,8.7,勝,勝,True,True,False,2025_oof_calibration
2025-05-07,2025,regular,西武,0,メットライフドーム,東浜 巨,髙橋 光成,1.0,7.0,-6.0,0.5,0.5,2.235,0.0,5,30,0.4666666666666667,1.0,0.5,0.5,4.0,0.9,0.85,5.2,3.5,1.2,2.6,0.5,1.05,0,0.5046263019982539,0.7691760178450541,3.7171914325457145,0.5575362451676139,0.6219128441554458,1,勝,62.19128441554458,0.3,,0.3,,ソフトバンク,-6.3,敗,勝,False,False,False,2025_oof_calibration
2025-05-09,2025,regular,オリックス,0,京セラドーム大阪,有原 航平,エスピノーザ,11.0,1.0,10.0,0.1316,0.1667,1.108,1.0,5,31,0.45161290322580644,0.8,0.5,0.45,2.6,0.6,0.5,4.6,3.3,2.0,2.7,0.8,2.35,1,0.329305127764197,0.7664839759399771,1.2254637431978117,0.416740897399353,0.7152803175925286,1,勝,71.52803175925287,,0.2,,0.2,オリックス,10.2,勝,勝,True,True,True,2025_oof_calibration
2025-05-10,2025,regular,オリックス,0,京セラドーム大阪,大関 友久,曽谷 龍平,1.0,6.0,-5.0,0.5333,0.3333,3.735,0.0,5,32,0.46875,0.8,0.6,0.45,3.6,1.7,0.6,5.8,4.2,2.2,2.5,0.8,2.6,0,0.40553432963962355,0.8067426349212289,1.566977532418436,0.48577599069594457,0.671001026073027,1,勝,67.1001026073027,,0.0,,0,オリックス,-5.0,敗,勝,False,False,False,2025_oof_calibration
2025-05-11,2025,regular,オリックス,0,京セラドーム大阪,上沢 直之,田嶋 大樹,7.0,1.0,6.0,0.4127,0.3333,3.904,1.0,5,33,0.45454545454545453,0.6,0.6,0.45,2.2,1.3,0.4,5.0,4.2,2.8,2.9,0.75,2.15,0,0.4431032647266772,0.8210497502838893,1.6248643951823603,0.5186925618381196,0.6489426561542246,1,勝,64.89426561542247,,0.3,,0.3,オリックス,6.3,勝,勝,True,True,False,2025_oof_calibration
2025-05-13,2025,regular,西武,1,京セラドーム大阪,モイネロ,菅井 信也,6.0,1.0,5.0,-0.25,-0.6667,0.486,1.0,5,34,0.47058823529411764,0.6,0.7,0.5,3.0,2.4,0.9,6.0,4.8,3.0,2.4,0.5,0.95,1,0.48423485878788214,0.2567053240626932,0.8220796440272692,0.4387289518428444,0.7014273011524251,1,勝,70.14273011524251,1.6,,1.6,,ソフトバンク,3.4,勝,敗,False,True,False,2025_oof_calibration
2025-05-14,2025,regular,西武,1,PayPayドーム,大津 亮介,武内 夏暉,1.0,3.0,-2.0,0.1455,0.3334,1.173,0.0,5,35,0.4857142857142857,0.6,0.8,0.55,2.0,3.0,1.2,5.2,5.2,3.2,2.2,0.5,1.0,0,0.6205095258463812,0.508355737875776,1.8076304962787986,0.5980787682522601,0.5923142542535877,0,敗,40.76857457464123,0.0,,0,,ソフトバンク,-2.0,敗,勝,False,True,False,2025_oof_calibration
2025-05-15,2025,regular,西武,1,PayPayドーム,前田 純,髙橋 光成,5.0,0.0,5.0,0.0,0.0,-0.542,1.0,5,36,0.4722222222222222,0.6,0.7,0.55,2.8,2.7,1.15,5.2,4.9,2.4,2.2,0.5,1.0,0,0.557047476377793,0.5231962310625742,1.3673122903669048,0.5502772273147493,0.6270553576020347,1,勝,62.70553576020347,0.0,,0,,ソフトバンク,5.0,勝,勝,True,True,False,2025_oof_calibration
2025-05-16,2025,regular,楽天,1,PayPayドーム,有原 航平,藤井 聖,1.0,5.0,-4.0,0.041,0.6667,2.2,0.0,5,37,0.4864864864864865,0.6,0.7,0.6,1.8,2.7,1.45,4.0,4.9,2.2,2.2,0.55,1.45,0,0.5146128309907183,0.48936112309023955,1.9763722406527071,0.5095624894106225,0.6551327428345992,1,勝,65.51327428345992,0.7,,0.7,,ソフトバンク,-4.7,敗,勝,False,False,False,2025_oof_calibration
2025-05-17,2025,regular,楽天,1,PayPayドーム,大関 友久,内 星龍,2.0,1.0,1.0,-0.4839,-0.6667,-1.25,1.0,5,38,0.47368421052631576,0.6,0.6,0.55,2.0,2.1,1.15,4.0,4.5,2.0,2.4,0.5,1.15,0,0.38511133311691553,0.5009968849297346,1.197865878662655,0.40828844347947935,0.7205527088416296,1,勝,72.05527088416297,0.4,,0.4,,ソフトバンク,0.6,勝,勝,True,True,True,2025_oof_calibration
2025-05-18,2025,regular,楽天,1,PayPayドーム,上沢 直之,ヤフーレ,2.0,1.0,1.0,0.1,0.1667,1.8,1.0,5,39,0.48717948717948717,0.6,0.6,0.55,1.0,2.0,1.0,3.0,4.5,2.0,2.5,0.5,0.75,0,0.5138840050388551,0.7432024399077506,2.6602486765546223,0.5597476920126342,0.6203372862476548,1,勝,62.03372862476548,0.5,,0.5,,ソフトバンク,0.5,勝,勝,True,True,False,2025_oof_calibration
2025-05-20,2025,regular,日本ハム,0,エスコンF,モイネロ,伊藤 大海,5.0,2.0,3.0,0.1576,0.0,2.356,1.0,5,40,0.5,0.6,0.6,0.55,0.2,1.1,1.0,2.2,3.7,2.0,2.6,0.35,-0.5,1,0.4277428662393475,0.8888586797653303,2.311650820677122,0.519966028944544,0.6480746256374479,1,勝,64.80746256374479,0.2,,0.2,,ソフトバンク,2.8,勝,勝,True,True,False,2025_oof_calibration
