date,season,game_type,opponent,home,venue,hawks_starter,opponent_starter,hawks_score,opponent_score,margin,starter_win_diff,starter_recent_diff,starter_run_diff_advantage,target,month,games_before,season_win_rate,win_rate_5,win_rate_10,win_rate_20,run_diff_5,run_diff_10,run_diff_20,runs_for_5,runs_for_10,runs_against_5,runs_against_10,h2h_win_rate,h2h_run_diff,rest_days,p_linear,p_tree,predicted_margin,未校正ホークス勝率,校正済ホークス勝率,prediction,AI予測,AI勝率,hawks_handicap,opponent_handicap,hawks_handicap_raw,opponent_handicap_raw,giving_side,adjusted_margin,handicap_result,predicted_handicap_result,handicap_hit,通常的中,厳選予測,split
2025-03-28,2025,regular,ロッテ,1,PayPayドーム,有原 航平,小島 和哉,2.0,8.0,-6.0,0.6562,1.0,3.873,0.0,3,0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,3.5,3.5,3.5,3.5,0.65,1.25,14,0.9816165662227966,0.787543167852678,0.33216279481146826,0.9525055564672789,0.1874023331595811,0,敗,81.25976668404189,1.3,,1.3,,ソフトバンク,-7.3,敗,敗,True,True,True,2025_oof_calibration
2025-03-29,2025,regular,ロッテ,1,PayPayドーム,大関 友久,ボス,4.0,5.0,-1.0,0.5833,0.3333,2.96,0.0,3,1,0.0,0.0,0.0,0.0,-6.0,-6.0,-6.0,2.0,2.0,8.0,8.0,0.6,0.5,0,0.9999876768391881,0.769930744129652,14.495081848501354,0.9654791369327577,0.15359595984109187,0,敗,84.64040401589081,1.3,,1.3,,ソフトバンク,-2.3,敗,勝,False,True,True,2025_oof_calibration
2025-03-30,2025,regular,ロッテ,1,PayPayドーム,上沢 直之,種市 篤暉,4.0,7.0,-3.0,0.75,0.6667,5.167,0.0,3,2,0.0,0.0,0.0,0.0,-3.5,-3.5,-3.5,3.0,3.0,6.5,6.5,0.55,0.15,0,0.9999893969084654,0.9028391264004249,11.463694849483895,0.9854168563322594,0.08766856562677597,0,敗,91.23314343732241,0.7,,0.7,,ソフトバンク,-3.7,敗,勝,False,True,True,2025_oof_calibration
2025-04-01,2025,regular,日本ハム,0,エスコンF,モイネロ,伊藤 大海,5.0,1.0,4.0,0.1528,0.3333,1.775,1.0,4,3,0.0,0.0,0.0,0.0,-3.3333333333333335,-3.3333333333333335,-3.3333333333333335,3.3333333333333335,3.3333333333333335,6.666666666666667,6.666666666666667,0.5,0.4,1,0.35381172581124726,0.4328724884358677,0.3709136553332164,0.3656708402049403,0.74858179837412,1,勝,74.858179837412,0.4,,0.4,,ソフトバンク,3.6,勝,敗,False,True,True,2025_oof_calibration
2025-04-02,2025,regular,日本ハム,0,エスコンF,前田 純,北山 亘基,1.0,3.0,-2.0,0.0,-0.1667,1.5,0.0,4,4,0.25,0.25,0.25,0.25,-1.5,-1.5,-1.5,3.75,3.75,5.25,5.25,0.55,0.8,0,0.40248409317095557,0.557652702464661,0.6315587602451377,0.4257593845650114,0.7129362791102334,1,勝,71.29362791102334,,0.0,,0,日本ハム,-2.0,敗,勝,False,False,True,2025_oof_calibration
2025-04-04,2025,regular,西武,1,PayPayドーム,有原 航平,今井 達也,0.0,6.0,-6.0,-0.0303,-0.5,0.167,0.0,4,5,0.2,0.2,0.2,0.2,-1.6,-1.6,-1.6,3.2,3.2,4.8,4.8,0.6,0.9,1,0.5620765159305482,0.5615214314181469,0.09041555035791049,0.561993253253688,0.6258437324170716,1,勝,62.584373241707155,1.0,,1.0,,ソフトバンク,-7.0,敗,敗,True,False,False,2025_oof_calibration
2025-04-05,2025,regular,西武,1,PayPayドーム,大関 友久,隅田 知一郎,3.0,6.0,-3.0,0.4171,0.0,3.028,0.0,4,6,0.16666666666666666,0.2,0.16666666666666666,0.16666666666666666,-1.6,-2.3333333333333335,-2.3333333333333335,2.8,2.6666666666666665,4.4,5.0,0.55,0.55,0,0.7027964134400214,0.6991452322203723,1.8438322149830648,0.7022487362570741,0.5189099190402516,0,敗,48.109008095974836,0.8,,0.8,,ソフトバンク,-3.8,敗,勝,False,True,False,2025_oof_calibration
2025-04-06,2025,regular,西武,1,PayPayドーム,上沢 直之,渡邉 勇太朗,11.0,1.0,10.0,0.2667,0.0,2.267,1.0,4,7,0.14285714285714285,0.2,0.14285714285714285,0.14285714285714285,-2.0,-2.4285714285714284,-2.4285714285714284,2.6,2.7142857142857144,4.6,5.142857142857143,0.55,0.45,0,0.683914880440824,0.7207757700096518,1.6868650804844347,0.6894440138761482,0.5297858500729679,0,敗,47.021414992703214,0.7,,0.7,,ソフトバンク,9.3,勝,勝,True,False,False,2025_oof_calibration
2025-04-08,2025,regular,オリックス,0,京セラドーム大阪,モイネロ,椋木 蓮,5.0,2.0,3.0,0.2857,0.5,2.452,1.0,4,8,0.25,0.4,0.25,0.25,0.6,-0.875,-0.875,4.0,3.75,3.4,4.625,0.75,2.1,1,0.5204720695073597,0.37256390481697815,1.1158368593179375,0.49828584480380245,0.6679683894426399,1,勝,66.796838944264,1.5,,1.5,,ソフトバンク,1.5,勝,敗,False,True,False,2025_oof_calibration
2025-04-09,2025,regular,オリックス,0,京セラドーム大阪,大津 亮介,曽谷 龍平,10.0,9.0,1.0,0.5,0.6667,3.7,1.0,4,9,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.4,-0.4444444444444444,-0.4444444444444444,4.0,3.888888888888889,3.6,4.333333333333333,0.75,2.15,0,0.4706646834419966,0.7514813404447866,0.9738932513958892,0.512787181992415,0.6586305375488947,1,勝,65.86305375488946,0.6,,0.6,,ソフトバンク,0.4,勝,勝,True,True,False,2025_oof_calibration
