file,axis,label,games,hits,accuracy,win_predictions,loss_predictions,handicap_games,handicap_hits,handicap_accuracy
handicap_backtest.csv,全体,全体,435,274,62.98850574712643,434,15,430,277,64.4186046511628
handicap_backtest.csv,年度,2024,160,106,66.25,151,14,155,101,65.16129032258064
handicap_backtest.csv,年度,2025,159,98,61.63522012578616,164,1,158,104,65.82278481012658
handicap_backtest.csv,年度,2026,116,70,60.3448275862069,119,0,117,72,61.53846153846154
handicap_backtest.csv,月,2,2,1,50.0,2,0,2,1,50.0
handicap_backtest.csv,月,3,50,29,57.99999999999999,57,0,55,34,61.81818181818181
handicap_backtest.csv,月,4,64,34,53.125,66,1,63,36,57.14285714285714
handicap_backtest.csv,月,5,68,44,64.70588235294117,60,8,68,44,64.70588235294117
handicap_backtest.csv,月,6,61,42,68.85245901639344,58,6,63,43,68.25396825396825
handicap_backtest.csv,月,7,64,44,68.75,65,0,65,44,67.6923076923077
handicap_backtest.csv,月,8,58,35,60.3448275862069,58,0,57,35,61.40350877192983
handicap_backtest.csv,月,9,43,28,65.11627906976744,43,0,35,26,74.28571428571429
handicap_backtest.csv,月,10,24,17,70.83333333333334,24,0,21,14,66.66666666666666
handicap_backtest.csv,月,11,1,0,0.0,1,0,1,0,0.0
handicap_backtest.csv,対戦相手,DeNA,18,10,55.55555555555556,16,2,18,10,55.55555555555556
handicap_backtest.csv,対戦相手,オリックス,64,40,62.5,64,2,60,40,66.66666666666666
handicap_backtest.csv,対戦相手,ヤクルト,16,9,56.25,16,0,16,9,56.25
handicap_backtest.csv,対戦相手,ロッテ,66,46,69.6969696969697,69,2,69,47,68.11594202898551
handicap_backtest.csv,対戦相手,中日,12,8,66.66666666666666,9,3,12,9,75.0
handicap_backtest.csv,対戦相手,巨人,15,10,66.66666666666666,16,2,16,11,68.75
handicap_backtest.csv,対戦相手,広島,16,12,75.0,18,0,17,13,76.47058823529412
handicap_backtest.csv,対戦相手,日本ハム,73,42,57.534246575342465,73,2,73,42,57.534246575342465
handicap_backtest.csv,対戦相手,楽天,67,40,59.70149253731343,66,1,64,39,60.9375
handicap_backtest.csv,対戦相手,西武,71,45,63.38028169014085,70,1,68,45,66.17647058823529
handicap_backtest.csv,対戦相手,阪神,17,12,70.58823529411765,17,0,17,12,70.58823529411765
handicap_backtest.csv,球場,PayPayドーム,218,139,63.76146788990825,221,2,210,149,70.95238095238095
handicap_backtest.csv,球場,SOKKEN,1,0,0.0,1,0,1,0,0.0
handicap_backtest.csv,球場,ZOZOマリンスタジアム,34,25,73.52941176470588,35,2,36,22,61.111111111111114
handicap_backtest.csv,球場,アイビー,1,0,0.0,1,0,1,0,0.0
handicap_backtest.csv,球場,エスコンF,31,16,51.61290322580645,31,1,30,14,46.666666666666664
handicap_backtest.csv,球場,ナゴヤドーム,5,3,60.0,2,3,5,3,60.0
handicap_backtest.csv,球場,マツダスタジアム,5,3,60.0,6,0,6,3,50.0
handicap_backtest.csv,球場,メットライフドーム,34,22,64.70588235294117,33,1,34,20,58.82352941176471
handicap_backtest.csv,球場,京セラドーム大阪,33,22,66.66666666666666,33,1,32,21,65.625
handicap_backtest.csv,球場,北九州,4,4,100.0,5,0,5,5,100.0
handicap_backtest.csv,球場,宇部,0,0,,1,0,1,1,100.0
handicap_backtest.csv,球場,宮崎,1,0,0.0,0,1,1,0,0.0
handicap_backtest.csv,球場,宮崎アイビー,1,1,100.0,1,0,1,1,100.0
handicap_backtest.csv,球場,弘前はるか夢球場,1,0,0.0,1,0,1,0,0.0
handicap_backtest.csv,球場,東京ドーム,10,9,90.0,8,2,10,9,90.0
handicap_backtest.csv,球場,楽天モバイル,29,16,55.172413793103445,29,0,29,15,51.724137931034484
handicap_backtest.csv,球場,横浜スタジアム,11,6,54.54545454545454,9,2,11,6,54.54545454545454
handicap_backtest.csv,球場,熊本,2,0,0.0,2,0,2,0,0.0
handicap_backtest.csv,球場,甲子園球場,7,5,71.42857142857143,7,0,7,5,71.42857142857143
handicap_backtest.csv,球場,神宮野球場,3,1,33.33333333333333,3,0,3,1,33.33333333333333
handicap_backtest.csv,球場,秋田こまちスタジアム,1,1,100.0,1,0,1,1,100.0
handicap_backtest.csv,球場,長崎,1,0,0.0,2,0,1,0,0.0
handicap_backtest.csv,球場,鹿児島,2,1,50.0,2,0,2,1,50.0
handicap_backtest.csv,AI勝率帯,"[0, 55)",33,24,72.72727272727273,19,15,34,23,67.64705882352942
handicap_backtest.csv,AI勝率帯,"[55, 60)",64,40,62.5,67,0,66,40,60.60606060606061
handicap_backtest.csv,AI勝率帯,"[60, 65)",119,79,66.38655462184873,122,0,119,81,68.0672268907563
handicap_backtest.csv,AI勝率帯,"[65, 70)",112,66,58.92857142857143,113,0,108,67,62.03703703703704
handicap_backtest.csv,AI勝率帯,"[70, 75)",54,33,61.111111111111114,57,0,50,33,66.0
handicap_backtest.csv,AI勝率帯,"[75, 80)",28,18,64.28571428571429,30,0,27,19,70.37037037037037
handicap_backtest.csv,AI勝率帯,"[80, 90)",20,12,60.0,20,0,20,12,60.0
handicap_backtest.csv,AI勝率帯,"[90, 101)",5,2,40.0,6,0,6,2,33.33333333333333
handicap_backtest_before_fix_20260824_184416.csv,全体,全体,435,274,62.98850574712643,434,15,0,0,
handicap_backtest_before_fix_20260824_184416.csv,年度,2024,160,106,66.25,151,14,0,0,
handicap_backtest_before_fix_20260824_184416.csv,年度,2025,159,98,61.63522012578616,164,1,0,0,
handicap_backtest_before_fix_20260824_184416.csv,年度,2026,116,70,60.3448275862069,119,0,0,0,
handicap_backtest_before_fix_20260824_184416.csv,月,2,2,1,50.0,2,0,0,0,
handicap_backtest_before_fix_20260824_184416.csv,月,3,50,29,57.99999999999999,57,0,0,0,
handicap_backtest_before_fix_20260824_184416.csv,月,4,64,34,53.125,66,1,0,0,
handicap_backtest_before_fix_20260824_184416.csv,月,5,68,44,64.70588235294117,60,8,0,0,
handicap_backtest_before_fix_20260824_184416.csv,月,6,61,42,68.85245901639344,58,6,0,0,
handicap_backtest_before_fix_20260824_184416.csv,月,7,64,44,68.75,65,0,0,0,
handicap_backtest_before_fix_20260824_184416.csv,月,8,58,35,60.3448275862069,58,0,0,0,
handicap_backtest_before_fix_20260824_184416.csv,月,9,43,28,65.11627906976744,43,0,0,0,
handicap_backtest_before_fix_20260824_184416.csv,月,10,24,17,70.83333333333334,24,0,0,0,
handicap_backtest_before_fix_20260824_184416.csv,月,11,1,0,0.0,1,0,0,0,
handicap_backtest_before_fix_20260824_184416.csv,対戦相手,DeNA,18,10,55.55555555555556,16,2,0,0,
handicap_backtest_before_fix_20260824_184416.csv,対戦相手,オリックス,64,40,62.5,64,2,0,0,
handicap_backtest_before_fix_20260824_184416.csv,対戦相手,ヤクルト,16,9,56.25,16,0,0,0,
handicap_backtest_before_fix_20260824_184416.csv,対戦相手,ロッテ,66,46,69.6969696969697,69,2,0,0,
handicap_backtest_before_fix_20260824_184416.csv,対戦相手,中日,12,8,66.66666666666666,9,3,0,0,
handicap_backtest_before_fix_20260824_184416.csv,対戦相手,巨人,15,10,66.66666666666666,16,2,0,0,
handicap_backtest_before_fix_20260824_184416.csv,対戦相手,広島,16,12,75.0,18,0,0,0,
handicap_backtest_before_fix_20260824_184416.csv,対戦相手,日本ハム,73,42,57.534246575342465,73,2,0,0,
handicap_backtest_before_fix_20260824_184416.csv,対戦相手,楽天,67,40,59.70149253731343,66,1,0,0,
handicap_backtest_before_fix_20260824_184416.csv,対戦相手,西武,71,45,63.38028169014085,70,1,0,0,
handicap_backtest_before_fix_20260824_184416.csv,対戦相手,阪神,17,12,70.58823529411765,17,0,0,0,
handicap_backtest_before_fix_20260824_184416.csv,球場,PayPayドーム,218,139,63.76146788990825,221,2,0,0,
handicap_backtest_before_fix_20260824_184416.csv,球場,SOKKEN,1,0,0.0,1,0,0,0,
handicap_backtest_before_fix_20260824_184416.csv,球場,ZOZOマリンスタジアム,34,25,73.52941176470588,35,2,0,0,
handicap_backtest_before_fix_20260824_184416.csv,球場,アイビー,1,0,0.0,1,0,0,0,
handicap_backtest_before_fix_20260824_184416.csv,球場,エスコンF,31,16,51.61290322580645,31,1,0,0,
handicap_backtest_before_fix_20260824_184416.csv,球場,ナゴヤドーム,5,3,60.0,2,3,0,0,
